company,console,name,metascore
Sony,PS3,Grand Theft Auto V,97
Sony,PS3,The Last of Us,95
Sony,PS3,BioShock Infinite,94
Sony,PS3,Rayman Legends,91
Sony,PS3,Assassin's Creed IV: Black Flag,88
Sony,PS3,Tomb Raider,87
Sony,PS3,MLB 13: The Show,87
Sony,PS3,Hotline Miami,87
Sony,PS3,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,86
Sony,PS3,Minecraft: PlayStation 3 Edition,86
Sony,PS3,Diablo III,86
Sony,PS3,Rocksmith 2014 Edition,86
Sony,PS3,FIFA 14,86
Sony,PS3,Dark Souls II,91
Sony,PS3,Ni no Kuni: Wrath of the White Witch,85
Sony,PS3,The Wolf Among Us: Episode 1 - Faith,85
Sony,PS3,The Last of Us: Left Behind,88
Sony,PS3,Brothers: A Tale of Two Sons,85
Sony,PS3,The Walking Dead: Season Two Episode 5 - No Going Back,87
Sony,PS3,DmC: Devil May Cry,85
Sony,PS3,Guacamelee!,84
Sony,PS3,NBA 2K14,84
Sony,PS3,Lone Survivor: The Director's Cut,84
Sony,PS3,Dark Souls II: Crown of the Ivory King,87
Sony,PS3,Tom Clancy's Splinter Cell: Blacklist,84
Sony,PS3,Final Fantasy X / X-2 HD Remaster,85
Sony,PS3,South Park: The Stick of Truth,85
Sony,PS3,Persona 4 Arena Ultimax,84
Sony,PS3,BlazBlue: Chrono Phantasma,83
Sony,PS3,Ultra Street Fighter IV,83
Sony,PS3,Dark Souls II: Crown of the Old Iron King,83
Sony,PS3,Batman: Arkham City,96
Sony,PS3,Portal 2,95
Sony,PS3,Mass Effect 2,94
Sony,PS3,The Elder Scrolls V: Skyrim,92
Sony,PS3,Uncharted 3: Drake's Deception,92
Sony,PS3,The ICO & Shadow of the Colossus Collection,92
Sony,PS3,LittleBigPlanet 2,91
Sony,PS3,NBA 2K12,90
Sony,PS3,FIFA Soccer 12,90
Sony,PS3,MLB 11: The Show,90
Sony,PS3,LIMBO,90
Sony,PS3,Deus Ex: Human Revolution,89
Sony,PS3,L.A. Noire,89
Sony,PS3,Metal Gear Solid HD Collection,89
Sony,PS3,Dead Space 2,89
Sony,PS3,Dark Souls,89
Sony,PS3,Call of Duty: Modern Warfare 3,88
Sony,PS3,DiRT 3,87
Sony,PS3,Rayman Origins,87
Sony,PS3,NHL 12,86
Sony,PS3,Mass Effect 3,93
Sony,PS3,Journey,92
Sony,PS3,Borderlands 2,91
Sony,PS3,Street Fighter III: Third Strike Online Edition,86
Sony,PS3,Far Cry 3,90
Sony,PS3,Okami HD,90
Sony,PS3,Plants vs. Zombies,85
Sony,PS3,Battlefield 3,85
Sony,PS3,Crysis 2,85
Sony,PS3,NBA 2K13,90
Sony,PS3,XCOM: Enemy Unknown,89
Sony,PS3,Dishonored,89
Sony,PS3,Trine 2,85
Sony,PS3,Might & Magic: Clash of Heroes,84
Sony,PS3,Fight Night Champion,84
Sony,PS3,God of War: Origins Collection,84
Sony,PS3,Marvel vs. Capcom 3: Fate of Two Worlds,84
Sony,PS3,Resident Evil 4 HD,84
Sony,PS3,FIFA Soccer 13,88
Sony,PS3,The Walking Dead: Episode 5 - No Time Left,88
Sony,PS3,Max Payne 3,87
Sony,PS3,Killzone 3,84
Sony,PS3,Mortal Kombat,84
Sony,PS3,The Walking Dead: Episode 3 - Long Road Ahead,87
Sony,PS3,MLB 12: The Show,87
Sony,PS3,UFC Undisputed 3,86
Sony,PS3,The Legend of Heroes: Trails of Cold Steel,86
Sony,PS3,ZEN Pinball 2,86
Sony,PS3,Persona 4 Arena,86
Sony,PS3,Assassin's Creed III,85
Sony,PS3,Street Fighter X Tekken,84
Sony,PS3,Red Dead Redemption,95
Sony,PS3,God of War III,92
Sony,PS3,Super Street Fighter IV,92
Sony,PS3,Pac-Man Championship Edition DX,91
Sony,PS3,Rock Band 3,91
Sony,PS3,Need for Speed: Most Wanted - A Criterion Game,84
Sony,PS3,The Walking Dead: Episode 1 - A New Day,84
Sony,PS3,The Walking Dead: Episode 2 - Starved for Help,84
Sony,PS3,Darksiders II,84
Sony,PS3,MLB 10: The Show,91
Sony,PS3,Assassin's Creed: Brotherhood,90
Sony,PS3,NHL 13,84
Sony,PS3,Sound Shapes,84
Sony,PS3,Need for Speed: Hot Pursuit,89
Sony,PS3,FIFA Soccer 11,89
Sony,PS3,NBA 2K11,89
Sony,PS3,NHL 11,88
Sony,PS3,Battlefield: Bad Company 2,88
Sony,PS3,Call of Duty: Black Ops,88
Sony,PS3,BioShock 2,88
Sony,PS3,Battlefield: Bad Company 2 Vietnam,88
Sony,PS3,Monkey Island 2 Special Edition: LeChuck's Revenge,87
Sony,PS3,Red Dead Redemption: Undead Nightmare Pack,87
Sony,PS3,Heavy Rain,87
Sony,PS3,BlazBlue: Continuum Shift,87
Sony,PS3,Bayonetta,87
Sony,PS3,DJ Hero 2,86
Sony,PS3,Joe Danger,86
Sony,PS3,Uncharted 2: Among Thieves,96
Sony,PS3,UFC Undisputed 2010,85
Sony,PS3,The Sly Collection,85
Sony,PS3,Castle Crashers,85
Sony,PS3,NCAA Football 11,85
Sony,PS3,Call of Duty: Modern Warfare 2,94
Sony,PS3,Street Fighter IV,94
Sony,PS3,Braid,93
Sony,PS3,Castlevania: Lords of Shadow,85
Sony,PS3,Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,85
Sony,PS3,Borderlands: The Secret Armory of General Knoxx,85
Sony,PS3,F1 2010,84
Sony,PS3,FIFA Soccer 10,91
Sony,PS3,Assassin's Creed II,91
Sony,PS3,Peggle,91
Sony,PS3,God of War Collection,91
Sony,PS3,Killzone 2,91
Sony,PS3,Batman: Arkham Asylum,91
Sony,PS3,MLB 09: The Show,90
Sony,PS3,Wipeout HD Fury,89
Sony,PS3,Demon's Souls,89
Sony,PS3,The Beatles: Rock Band,88
Sony,PS3,NHL 10,88
Sony,PS3,Fight Night Round 4,88
Sony,PS3,BlazBlue: Calamity Trigger,87
Sony,PS3,Critter Crunch,87
Sony,PS3,DiRT 2,87
Sony,PS3,Dragon Age: Origins,87
Sony,PS3,flower,87
Sony,PS3,PixelJunk Shooter,87
Sony,PS3,Ratchet & Clank Future: A Crack in Time,87
Sony,PS3,Guitar Hero: Metallica,86
Sony,PS3,DJ Hero,86
Sony,PS3,Shatter,86
Sony,PS3,Guitar Hero 5,86
Sony,PS3,Red Faction: Guerrilla,85
Sony,PS3,Madden NFL 10,85
Sony,PS3,Marvel vs. Capcom 2,85
Sony,PS3,inFamous,85
Sony,PS3,Resident Evil 5,84
Sony,PS3,Resistance: Fall of Man,86
Sony,PS3,Call of Duty 4: Modern Warfare,94
Sony,PS3,The Elder Scrolls IV: Oblivion,93
Sony,PS3,Fight Night Round 3,83
Sony,PS3,Rock Band,92
Sony,PS3,Ratchet & Clank Future: Tools of Destruction,89
Sony,PS3,The Orange Box,89
Sony,PS3,Uncharted: Drake's Fortune,88
Sony,PS3,Ninja Gaiden Sigma,88
Sony,PS3,Unreal Tournament III,86
Sony,PS3,Tom Clancy's Rainbow Six Vegas,86
Sony,PS3,NHL 08,86
Sony,PS3,Super Stardust HD,85
Sony,PS3,Virtua Fighter 5,85
Sony,PS3,Skate,85
Sony,PS3,Tom Clancy's Ghost Recon Advanced Warfighter 2,84
Sony,PS3,MotorStorm,84
Sony,PS3,Warhawk,84
Sony,PS3,Everyday Shooter,83
Sony,PS3,DiRT,83
Sony,PS3,Guitar Hero III: Legends of Rock,83
Sony,PS3,Grand Theft Auto IV,98
Sony,PS3,LittleBigPlanet,95
Sony,PS3,BioShock,94
Sony,PS3,Metal Gear Solid 4: Guns of the Patriots,94
Sony,PS3,Rock Band 2,91
Sony,PS3,Fallout 3,90
Sony,PS3,Dead Space,88
Sony,PS3,NHL 09,88
Sony,PS3,Burnout Paradise,87
Sony,PS3,GRID,87
Sony,PS3,Super Street Fighter II Turbo HD Remix,87
Sony,PS3,FIFA Soccer 09,87
Sony,PS3,Bionic Commando Rearmed,87
Sony,PS3,Wipeout HD,87
Sony,PS3,Resistance 2,87
Sony,PS3,Valkyria Chronicles,86
Sony,PS3,Madden NFL 09,85
Sony,PS3,MLB 08: The Show,85
Sony,PS3,SoulCalibur IV,85
Sony,PS3,Call of Duty: World at War,85
Sony,PS3,Far Cry 2,85
Sony,PS3,Prince of Persia,85
Sony,PS3,Sid Meier's Civilization Revolution,85
Sony,PS3,Battlefield: Bad Company,84
Sony,PS3,Guitar Hero World Tour,84
Sony,PS3,Devil May Cry 4,84
Sony,PS3,Pure,83
Sony,PS3,PixelJunk Monsters,83
Sony,PS3,Bulletstorm,83
Sony,PS3,Beyond Good & Evil HD,83
Sony,PS3,Resistance 3,83
Sony,PS3,inFamous 2,83
Sony,PS3,Outland,83
Sony,PS3,Stacking,83
Sony,PS3,Battlefield 3: Back to Karkand,83
Sony,PS3,F1 2011,82
Sony,PS3,Saints Row: The Third,82
Sony,PS3,Top Spin 4,82
Sony,PS3,PixelJunk Shooter 2,82
Sony,PS3,Dragon Age II,82
Sony,PS3,Oddworld: Stranger's Wrath HD,82
Sony,PS3,You Don't Know Jack,82
Sony,PS3,NCAA Football 12,82
Sony,PS3,Fallout: New Vegas - Old World Blues,81
Sony,PS3,From Dust,81
Sony,PS3,Shift 2: Unleashed,81
Sony,PS3,NBA Jam: On Fire Edition,81
Sony,PS3,Crysis,81
Sony,PS3,Child of Eden,81
Sony,PS3,Prince of Persia Classic Trilogy HD,81
Sony,PS3,Rage,81
Sony,PS3,Dungeon Defenders,80
Sony,PS3,Ultimate Marvel vs. Capcom 3,80
Sony,PS3,Assassin's Creed: Revelations,80
Sony,PS3,Disgaea 4: A Promise Unforgotten,80
Sony,PS3,Tetris,80
Sony,PS3,Renegade Ops,80
Sony,PS3,Super Street Fighter IV: Arcade Edition,80
Sony,PS3,Tiger Woods PGA Tour 12: The Masters,80
Sony,PS3,Dark Souls II: Crown of the Sunken King,83
Sony,PS3,The Wolf Among Us: Episode 2 - Smoke and Mirrors,82
Sony,PS3,The Walking Dead: Season Two Episode 2 - A House Divided,82
Sony,PS3,Kingdom Hearts HD 2.5 ReMIX,81
Sony,PS3,MLB 14: The Show,81
Sony,PS3,Luftrausers,80
Sony,PS3,Battlefield 1943,84
Sony,PS3,Skate 2,84
Sony,PS3,Need for Speed: Shift,84
Sony,PS3,UFC Undisputed 2009,84
Sony,PS3,Comet Crash,83
Sony,PS3,NBA 2K10,83
Sony,PS3,Borderlands,83
Sony,PS3,Trine,83
