company,console,metascore,name
Microsoft,X360,17,Yaris
Microsoft,X360,17,Double Dragon II: Wander of the Dragons
Microsoft,X360,19,Ride to Hell: Retribution
Microsoft,X360,22,Fast & Furious: Showdown
Microsoft,X360,25,NBA Unrivaled
Microsoft,X360,25,Leisure Suit Larry: Box Office Bust
Microsoft,X360,25,AMY
Microsoft,X360,26,Deca Sports Freedom
Microsoft,X360,28,Rambo: The Video Game
Microsoft,X360,28,Rogue Warrior
Microsoft,XBOX,22,Drake of the 99 Dragons
Microsoft,XBOX,24,Pulse Racer
Microsoft,XBOX,25,Batman: Dark Tomorrow
Microsoft,XBOX,26,Aquaman: Battle for Atlantis
Microsoft,XBOX,26,Stake: Fortune Fighters
Microsoft,XBOX,28,Sneakers
Microsoft,XBOX,30,Robocop
Microsoft,XBOX,30,Crime Life: Gang Wars
Microsoft,XBOX,32,Land of the Dead: Road to Fiddler's Green
Microsoft,XBOX,32,Bruce Lee: Quest of the Dragon
Microsoft,XONE,23,Fighter Within
Microsoft,XONE,30,Soda Drinker Pro
Microsoft,XONE,32,Ghostbusters
Microsoft,XONE,32,Giana Sisters: Dream Runners
Microsoft,XONE,32,Gene Rain
Microsoft,XONE,34,Agony
Microsoft,XONE,34,Past Cure
Microsoft,XONE,35,7 Days to Die
Microsoft,XONE,36,NBA Live 14
Microsoft,XONE,38,Project Root
Nintendo,3DS,26,Tenkai Knights: Brave Battle
Nintendo,3DS,30,Power Rangers Megaforce
Nintendo,3DS,30,Transformers: Dark of the Moon - Stealth Force Edition
Nintendo,3DS,35,Langrisser Re:Incarnation -TENSEI-
Nintendo,3DS,37,3D Classics: Urban Champion
Nintendo,3DS,39,RollerCoaster Tycoon 3D
Nintendo,3DS,40,Chronus Arc
Nintendo,3DS,41,Turtle Tale
Nintendo,3DS,42,Block Factory
Nintendo,3DS,42,One Piece: Romance Dawn
Nintendo,DS,20,Deal or No Deal
Nintendo,DS,23,Homie Rollerz
Nintendo,DS,28,Ping Pals
Nintendo,DS,28,Thundercats
Nintendo,DS,28,Godzilla Unleashed: Double Smash
Nintendo,DS,29,Duke Nukem: Critical Mass
Nintendo,DS,31,Toy Shop
Nintendo,DS,32,Best of Tests DS
Nintendo,DS,32,Jenga World Tour
Nintendo,DS,33,Superman Returns
Nintendo,GBA,24,Legends of Wrestling II
Nintendo,GBA,26,Mucha Lucha! Mascaritas of the Lost Code
Nintendo,GBA,30,Fear Factor: Unleashed
Nintendo,GBA,33,Van Helsing
Nintendo,GBA,33,Yu Yu Hakusho: Spirit Detective
Nintendo,GBA,33,Mortal Kombat Advance
Nintendo,GBA,34,David Beckham Soccer
Nintendo,GBA,35,Street Jam Basketball
Nintendo,GBA,37,Defender
Nintendo,GBA,37,NFL Blitz 20-02
Nintendo,GC,23,Charlie's Angels
Nintendo,GC,27,Aquaman: Battle for Atlantis
Nintendo,GC,29,Batman: Dark Tomorrow
Nintendo,GC,35,Bad Boys: Miami Takedown
Nintendo,GC,36,The Sum of All Fears
Nintendo,GC,36,Disney Sports Skateboarding
